時間戳記,職場壓力話術／內部對話片段,你內心真正想說的話
2025/5/15 上午 11:48:53,"某主管說請業務員自行購買保險
讓業績達標 也算是給公司保護費合理",其實只是想要學習讓自己成為客戶可以信賴的理財專員而非為了壓力而銷售不當的商品給客戶成為很像詐騙集團的一分子
2025/5/15 上午 11:55:02,我以前的主管都把他自己的責任額度分配給所有的營業員，然後說不管用什麼辦法一定要達成，還沒開始募集就要承諾會達成，沒有承諾百分百的，每天問進度、寫扣客表、主管辦公室約談，看是要找金主，或是自己去貸款，反正不管用什麼辦法一定要達成。只要募集的商品一出來，還沒開始募集壓力就排山倒海了，有兩個老同事，這樣被逼走的，竟然不是因為我們的本業，是為了IPO，然後主管自己都不買,商品可以發，可以訂目標，但不能強迫達成率，並不是所有的商品客戶都買單！然後獎金發得很少，越上層越肥，把營業員當搖錢樹剝削，這樣可以嗎？
2025/5/15 下午 12:05:17,上一檔IPO沒做到，這一檔開募時，主管走到我身邊說：你上次欠我五十萬這次要補喔,"我就想問我清清白白乾乾淨淨的進公司上班，怎麼就負債了？我領$30,000的薪水，怎麼我不賣IPO就「欠你50萬」了？？這是證券還是黑道，每個月都來跟我收保護費，沒有管產品好不好會不會賺錢耶，你要我吞我就得吞下"
2025/5/15 下午 12:09:27,主管說 如果跟客戶有一腿有業績 不如就為了業績犧牲自己,我是來自己學習投資理財 也希望學到後幫助客戶有健全的理財觀點 不是來當詐騙集團的
2025/5/15 下午 12:16:55,"同事：沒有客戶符合專業投資人。
主管：我知道你沒有，但你還是要想辦法生出來",為什麼做業務一定要用騙的？商品好的話，自然有人會買
2025/5/15 下午 12:25:42,雞雞證券南部某主管：這就是公司任務使命必達沒有藉口客戶不買就暗示明示自己買單，表示自己也是累積賠不少，誰不是這樣做,出國你們去，高額獎金績效獎金你們領，還不時帶性暗示的神情與言語表示營業員可以靠外型去吸引客戶，我沒有對公司很不滿但我對現任主管很厭惡
2025/5/15 下午 12:40:20,有錢的國度證券，離陽明大學不遠的分公司，會要求這一次的ETF做不到，把做不到的部分灌到下一次的ETF補回來。例如：這次要做200萬，但只達成150萬，不足的50萬，等下次的扣打出來（如果也是200萬）加到下次的扣打裏（200+50=250萬），做不到會個別請到經理室關心業績狀況，有好的資源（大客戶）也會撥給很會賣財管商品的超業或是前經理人的親戚營業員,營業員出來賺錢養家養公司，好不容易賺到的辛苦錢，都要拿出來run公司的每個月每項扣打（基金、ETF、海外債、投資型保單、FCN），高層領高薪，營業員賠獎金。就連每年尾牙還要號召員工表演節目給高層娛樂，真的很懷念以前照顧員工的萬財老闆。還有，不要有營業員離職就把資源撥給前經理人的親戚營業員好嗎？對盡心盡力達成扣打的營業員們公平嗎？常常在那邊話術演練，話術客戶去買目前的扣打產品，客戶買到的商品是不是自己想要的？安全的？還是公司想賣的？風險高或低的？
2025/5/15 下午 1:30:42,"某券商某主管說：
連30萬都沒有辦法自己做IPO 要我借你錢嗎？","如果個人的基本績效都已達標
就不要再逼 保險 債券 IPO 的業績了 "
2025/5/15 下午 1:36:34,"主管說：我不相信你IPO連10萬都騙不到
拿著你營業員的名片會騙不到10嗎？
如果騙不到，表示這個行業不適合你
請你可以考慮離開","我從業30幾年，第一次感覺自己是詐騙集團
什麼時候我的業績需要去騙客戶才能完成😭
每次IPO上市
都比我自己買壓力還要大
怕對不起從頭到尾這麼挺我的客戶"
2025/5/15 下午 1:58:50,公司就是被你們拖累的/ 公司不養冗員/ 資源分配本來就是不公平但你們就是要做出同樣的業績 /業務員是責任制，超時沒有加班費，有本事做出成績不然下午晚上假日也要去訪客啊/假日節日還要收到主管訊息KPI施壓，根本沒有喘息的空間/每天早上下午都在碎念講大道理情緒勒索，做不到抽資源換別人經營，你知道你很危險嘛，ipo沒達標績效考核會很不好/客人股票下單跟你們業務員沒有關係，只有財富管理才是你們的價值/沒數字就說你很危險喔 會被約談喔 有可能會輔導 被資遣喔 之前最後一名的人現在卻莫名拿到資源變成前幾名 這有公平嘛？,"拜託 我們不是24小時工作機器人誒
無時無刻都在情緒勒索 早到晚 包含假日
還要收到訊息檢討 追蹤 請問你要付我加班費嘛
特休還要看你臉色 kpi沒達標還要被你酸
你自己也說資源分配本來就是不公平 
那憑什麼要求我們做到相同的數字KPI
起跑點就不一樣了不是嗎 數字為王其他為屎嘛
說得一頭好道理 但你們真的有把業務員當人看嘛
還是無法創造數字的就滾 說了這麼多也沒實際方案 只會Call客 你跟客人交情不好 客人不願意幫你
有時候還真的覺得這些客人真的很悲哀誒
金融業有些主管 高官根本就是沒把員工當成家人只是當成免洗筷沒用就丟 真的氣死人
"
2025/5/15 下午 2:41:41,「某主管」不守信用，有營業員自掏腰包買（保險、申購IPO基金及申購ETF)之後還被資遣，主管所說的績效都是他們說的算，分數都「主管」在打，「主管」想資遣誰就資遣誰，在我眼裏主管所說的績效都是騙人的！,"我們做業績都是上面的在享受
做的好是應該的，做不好只會威脅恐嚇
業績、壓力都是我們在扛
升遷的是他們、出國的也是他們
真的很不公平！"
2025/5/15 下午 2:49:46,某聯x金 個金貸款 主管 不做財管績效獎金會變少 大家都有做 你不能不做,明明是個金貸款還要綁協銷保單ipo 不是嚴禁貸款買產品嗎 個金業務也沒有證還要協銷 恐嚇客人不買就利率變高 手續費變高 違法算誰 
2025/5/15 下午 3:03:29,"投資型保單很棒的被動收入，有7-8%，可以用房子借款出來買

下午留下來打20幾通電話
還會去聽錄音，看你有沒有真的打電話出去銷售，這個手段好幾年前就有

IPO ETF 可以很好拿獎金，為什麼還掛蛋

（其實很不想說，還有很多很多被打壓，被情勒，怕寫這些，萬一曝光，就沒了工作）","從業20年超過，以前的年代是賣基金，但近幾年的ipo真的太誇張了，責任額幾百萬，甚至要求到千萬也有，然後破發，客人都是捧場買的，虧了幾次之後，捧場的人越來越少
去年下旬下半年幾乎一個月1-2檔
有時根本還來不及教育訓練，就要報額度，最好第一天都能達到100%
每次都一定要達成全公司的額度
這到底是誰規定的，這麼爛的東西為什麼要強迫我們去銷售
根本不需要什麼專業，我們只是銷售的機器
無論是股票債券或主動式的ETF賣就對了
從兩年前身心壓力之下也去看了醫生
每天需要吃藥睡覺,恐慌焦慮的情緒時常伴隨
我知道情緒生病了
證券業也生病了，但是沒有人會去檢討
只有營業員不斷被檢討，別人可以為什麼你不行
同事抱怨歸抱怨，額度一下來還是做到滿甚至超過，我只能說客人真好騙
因為大家都想要繼續工作，所以很拼
但這樣子會讓公司得寸進尺
無限的發行
最後終究會是一場災難
很高興終於有同業肯出來發聲
終於覺得有靠山的感覺"
2025/5/15 下午 3:28:21,銀行IPO和基金業績是一定要做到的，沒有做不到這種事，客人不買，就是你自己要買。,賺到的錢都拿去買銀行IPO和基金了，股市大跌全都套牢了
2025/5/16 上午 12:24:07,某投信投顧主管的職場言語及精神霸凌：1.業務沒有報單就是沒有價值 2.公司產品即使是垃圾也能是黃金，不然公司請你來幹嘛？ 3. 工作是外勤拜訪，業績不好，主管心情不好就臨時要求趕回辦公室開會，還要求開視訊確認所處位置 4.時不時口頭威脅要對業務啟動pip計劃 5.主管以業績不好、藉故查勤當理由，動不動開口必要時以絕對離職辦理  6.臨時要求產品演練  7.威脅要以公司內規訂定業務守則規範，以規定訪客次數及辦理說明會次數  8.外部分行或分公司的早夕會上課所產生的交通時間都在非上班時間內，公司從未給付過加班費  9.要求參加晚上的銀行或券商餐會活動，也從未給付過加班費  10.莫須有栽贓及怪罪業務，縮減年終獎金或季獎金。,1.照勞基法規定還給員工有制度有尊嚴的工作制度，加班費正常給付，工作時數合理化。2.主管勿以言語威脅離職、及言語暴凌  3. 公司調整距離超過原住址超過30公里，應該提供勞基法相關勞工保障，提供配套措施。
2025/5/16 上午 12:53:27,沒有,銀行主管不要再訂IPO目標。不要什麼業務都要理專做，存款、貸款、貸轉投、做不到就扣KPI
2025/5/16 上午 2:42:02,某大金控南部大點負責人，會在會議中對全體同仁用充滿壓力的言語負面輸出，如：做那麼爛、不要當拖油瓶、扯團隊後腿、心裡要有數等等，造成每每會後同事間氣氛沉重壓抑。並且也會在訊息中使用：高層震怒，等用詞來施壓。,負責人往往用懲罰恐嚇鞭策同仁前進，而非正向的力量，與公司理念背道而馳，此為上行下效，公司理念用語形同虛設
2025/5/16 上午 2:59:52,"OO證券OO分公司在114年O月O日下午3點全體營業員會議中，單位主管OOO協理說邀請‘’神秘嘉賓‘’蒞臨做經驗分享，該名神秘嘉賓是營業員，為OO分公司OOO先生，他說他們分公司很多營業員都貸款買責任額商品，建議我們也可以這麼做，還可以介紹認識的貸款專員給我們。

在OO證券OO分公司會議室內正式營業員會議中提出這樣的經驗分享，請問是否恰當？

會後私下確實有營業員同事表達想去辦理財型房貸或信貸買責任額商品

證券業這樣的職場文化令我心寒","對於定時定量要求達標的責任額
有檢討制度的必要"
2025/5/16 上午 3:21:10,"營業員小組會議約10人開會
組長說有人願意貸款完成公司商品責任額（壽險基金等等），對其他沒做到的人來說，你們是否感到‘’‘虧欠‘’’？你們沒有達標沒有‘團隊精神’！沒有‘責任感’！不負責！

‘’責任額‘’就當做是在‘’菜市場上擺攤‘’，要付的‘’清潔費‘’，貸款買進商品再賣出付完就好，自己再從別的業務賺錢就好了啊！

責任額只是地板，基本要求","責任額有檢討必要
制度生病了"
2025/5/16 上午 4:13:11,"某某證券某分公司月會
（前後全員参加）
臨時動議某營業員舉手發言：
‘我自己貸款買公司商品達到責任額，願意自己買單，公司是否應該給配我更多客戶，補貼我的付出，我挺公司，公司挺我’","證券業真的病了
月會太瘋狂......"
2025/5/16 上午 8:52:49,「妳裙子穿得比別人短，責任額跟其他男生一樣不覺得愧疚嗎」「你是女生要會利用自己優勢」「女生怎麼可能賣不出去是妳要不要而已你知道方法的」,去死吧
2025/5/16 上午 8:55:16,華X女主管,ipo檔檔要員工達成，好還要更好，務必達成是她的口頭禪，不是總數達標即可，都要100多%以上，踩著員工屍體往上爬，每年都期待升官發財的夢！
2025/5/16 上午 9:30:46,"這個月到現在，市場上那麼火熱，你的數字落後，你到底卡在哪裡？為什麼沒有成交
客戶A你跟他目前聊了什麼？
如：債券。營業員回答：客戶考量匯率跟價格，要再等等
主管回答：現在就是債券甜甜價，現在買不用考慮了。匯率：10年平均匯率30.7元，就算給你換到32元，債券的資本利得可以cover匯率損失啊。所以，客戶到底為什麼不跟「你」買



這個客戶有成交什麼？都沒有成交的話，連PI都沒辦法續約，那移轉客戶，讓別人去call



工作如果不要做，你可以直接說

","公司制度已傾斜獨厚某部份人，單位主管又偏心，對業務同仁大小眼極度嚴重。
只要不是愛將，數字暫停時就問為何沒有數字？每天都不知道你們在做什麼"
2025/5/16 上午 9:36:59,"1、落實call客，總公司追蹤每位同仁的進度（名單已寄至 信箱）
2、達500萬不追蹤
3、針對落後同仁，客戶名單移轉
4適當人力調整","討厭每天被威脅把你的客戶轉走，或是你不適合這份工作趕快考慮轉跑道

那他自己來call看看誰要買這些，ETF "
2025/5/16 上午 9:39:10,做不到就移轉客戶,帶人帶心
2025/5/16 上午 11:27:05,你沒做到的話，工作還要不要,責任額都快要三個月的薪水，還要被迫買商品
2025/5/16 下午 12:00:56,負八證劵,公司的高層吃香喝辣，薪資動輒千萬以上，隨意的一句震怒…底下的第一線人員就得檔檔的IPO 百萬以上達標，出錢賠錢都不關他們的事…他們只管領錢，這種惡行主管機關還能縱容嗎
2025/5/16 下午 1:38:24,被主管公開指責到底有沒有來上班,"公司不是家𥚃 在公司大小聲是職場霸凌
金融業必須改革 既得利益者的共犯結構
希望像美國制度以客戶績效為導向 不是手續費為導向"
2025/5/16 下午 2:47:01,"主管明示暗示責任額100%要達到
做不到就自己想辦法
檔檔破發之下沒有客戶要買
自掏腰包自己全部買了160萬
還被主管嘲諷：這樣的環境不適合你，你可以盡早離職","我自掏腰包全買100%，讓主管櫃管在總公司得到表揚，（主管還有另外的績效獎金）
還要被主管貶到豬狗不如
主管得了便宜還賣乖
左右為難是叫我去死嗎😭"
2025/5/16 下午 3:07:50,長官：別人做得到為什麼你不行。曾經以-8為榮但我真的盡力了。,中年真的很難被公司氛圍弄得心力交瘁，一直懷疑人生。以為關關難過會關關過，壓力就是動力其實不然，壓力並不會成為動力只會成為你的病。然後你把這些壞情緒帶回家裡也直接影響到家庭變得心力交瘁，然後推薦的ETF檔檔破發愧對信任自己的客戶朋友，想說自己買能交代就好但每檔都破發比如-8發的免疫生技15元到現在的6.2...真的很難跟朋友交待。我不知道這病態的IPO責任額能否終結我只希望我推薦的ETF客戶能少賠點。
2025/5/16 下午 3:30:19,做不到就要檢討為什麼別人做得到你做不到？,都已經達到妳訂的手收目標了 每個月要求300%400% 妳怎麼不自己做啊🙄
2025/5/16 下午 4:31:01,一個月才出2件保單，妳以為妳很厲害嗎？,馬的⋯有事嗎？
2025/5/16 下午 4:50:36,找不到客戶就自己買一買，反正xx天後就可以出場了,公司給的投資專業培訓根本不夠，剛入行不到三個月就被理專同事當肥羊宰，糊里糊塗簽下信託總約，詢問用途時負責的理專同事眼神之鄙夷、答覆之簡短不耐，讓我忍不住心想「你對不了解信託的客戶也是這種嘴臉嗎？」試用期還沒過就要揹10萬元IPO責任額，當時我甚至連IPO是什麼都還完全不懂。各種被吃豆腐，明明職等不夠擔任的職務，硬被叫去做；內控不夠嚴謹，有一次分行間調度金幣實物，主管都先把調入的金幣拿給客戶了才叫經辦來點收，是點收個屁？然後月月IPO，做不到就直接在晨會一一點名公審，role play從來不事先告知練習哪一項產品，想到什麼就做什麼是要play個屁？然後因此表現不好就再鞭一頓，不教而殺。有些主管更明目張膽叫行員自掏腰包購買買足責任額，每次都是5-10萬不等，每次都只會說無關痛癢的「等到有賺再出場」。金融業盲目追求手收已經很久，我就想靠北我是銀行員，不是專賣保險的業務員，更不會因為收入還算可以，就隨時能吐出五萬、十萬。這個體制真的生病了，根本很少人真正為客戶的需求和權益著想，哪檔手收高就推那檔，還有一絲良心的從業人員遲早會被逼出一身病。
2025/5/16 下午 11:05:28,"定時定量的恐嚇強制交出業績
（ 壽險／基金）
證券 同事 都被迫接受 
做不到的被要求信貸 
沒完成責任額被主管說是‘’ 打混‘’
說‘’銷售是業務的天職 ‘’
金融犯罪不是只有詐騙行為
主管的恐嚇強制也是屬於一種金融犯罪
我現在終於懂了
在這家劵商做了24年營業員
默默承受了這麼多不該承受的壓力
為自己感到悲哀
以為工作就是要忍辱負重.......
就是為了生活要聽主管安排

今日的金融業證券公司是個‘’犯罪淫場‘’
我看不到對營業員的尊重
只有疲勞轟炸式的詢問
什麼時候可以完成責任額？
什麼時候可以交出業績？
把辛苦賺來的錢
再被迫買單責任額虧損掉
看似光鮮亮麗的證券營業員
好像賺很多
實則虧不少
我們有苦難言...........","定時定量的恐嚇強制交出業績
（ 壽險／基金）
證券 同事 都被迫接受 
做不到的被要求信貸 
沒完成責任額被主管說是 打混
說銷售是業務的天職 
金融犯罪不是只有詐騙行為
主管的恐嚇強制都是屬於一種金融犯罪
我現在終於懂了
在這家劵商做了24年營業員
默默承受了這麼多不該承受的壓力
為自己感到悲哀
以為工作就是要忍辱負重.......
就是為了生活要聽主管安排

今日的金融業證券公司是個‘’犯罪淫場‘’
我看不到對營業員的尊重
只有疲勞轟炸式的詢問
什麼時候可以完成責任額？
什麼時候可以交出業績？
把辛苦賺來的錢
再被迫買單責任額虧損掉
看似光鮮亮麗的證券營業員
好像賺很多
實則虧不少
我們有苦難言..........."
2025/5/17 上午 2:36:17,"OO證券OO分公司晨會
主管說：做不到責任額就是擺爛！打混！","我是從業24年OO證券營業員
24年前和公司簽的勞動契約是
證券期貨營業員
做受託買賣的工作
我不懂為何現在定時定量需要交出壽險ipo基金變成我的責任
沒有完成就是‘’擺爛打混‘’
就被冠以‘銷售是營業員天職’的說辭
要求貸款達標
100%要完成責任額
並且額度一直提高
頻率也越密集
OO金控獲利王竟是員工血汗錢堆積出來的
真是可悲啊！"
2025/5/17 上午 2:40:08,"做不到不能公出，下班 回來開會
不分配自來戶
被叫進小房間","我是來上班賺錢的不是花錢買工作的
上面賺飽飽連經理人都不用包扣打"
2025/5/17 上午 2:45:53,"責任額什麼叫做責任額
只有營業員有責任
長官都沒有
簡直就是吸血的公司
沒有績效的投信也可以拼命的破發ETF
 主管機關 圖利財團","ETF的回單應該是回到營業員身上
不是法人部"
2025/5/17 上午 3:07:17,"特許的金融業
養出了一群特許的金融流氓主管
對於未完成責任額的營業員
在公司晨會月會等公開場合
拿著麥克風
大罵：‘’沒有羞恥心！‘’沒有榮譽感！‘’","特許的金融業
養出了一群特許的金融流氓主管
對於未完成責任額的營業員
大罵：‘’沒有羞恥心！‘’‘沒有榮譽感！""’
職場文化惡劣至極
讓我身心疲憊"
2025/5/17 上午 4:26:42,我就不相信，做那麼久的營業員了，連1張都賣不出去，以為你可以安心待退喔？,多點同理心，少用脅迫的方式發言
2025/5/17 上午 4:37:08,使命必達,"主管不錯,但-8要求越來越多"
2025/5/17 上午 7:03:00,基金募集、IPO下來，主管詢問是否有目標名單、後續要是目標客戶無意願，主管表示已將目標名單購買量納入，需再找或自行消化。,一年不知道幾檔，拿去買的金額都是至少幾個月的薪水。想不到銀行行員任職業務本業做好只有60分，考績看你的業績、業績達成100%不夠，大家都是120%，年度分配業績達成還是不夠，每月都要出單。可以去看看紅色公股銀行每間分行非理專行員一年背的業績有多高，人人百萬，放款職務業績更高，不含保險手續費收入需達幾百萬。本業斷層越來越嚴重，總行不檢討，而是各種人才全部給我去做理專賣保險！金管會看不到行員協銷，因為怕被抓改成客戶經營，全員行銷打電話，本業工作做不完，行銷電話打不完，打不完還要每週開會、忙到沒空開會簽到，到時候就讓你在全行面前分享如何經營推銷客戶買各種商品，每個人都有自己的客群名單，名單客戶不買單，想辦法拉關係讓客戶購買產品創造手續費收入，銀行業痛苦指數越來越高越來越可笑。你說業績高領的也多合理，營收創新高，獎金創新低，整包加起來領有6個月嗎？？？
2025/5/17 上午 7:47:04,"1.你們就完成你自己的目標 團隊是大家的 每張能多賺多少 你家人明天會發生什麼事你都不知道 錢要先存起來
2.你們若不完成 後線可能要被裁員 你們要讓他們被裁掉
3.沒完成的 你就不要請特休 我不會批 call報告每天交出來 業績不到的開始輪每日早會報告
4.你就去推 客人要讓他賺錢 這檔ETF多好你都不知道 
你賣客戶會很感謝你 賺錢他錢就一直搬來
5.同事賣不出去自己買 最後酸你 賣給客戶才是厲害啦 你能自己買多久 像我賣多少出去 （自己不幫忙總扣打，在炫耀自己能力很夠）


","業務不是不做 但老是叫我們買 都賠錢 做久也懶
主管眼光要放遠 帶人要帶心 自然出來幫你一起扛
公司有錢系統就提升一點 打仗槍炮都用爛的 能厲害到哪
別再用說極繁瑣的作業擾民  別再花錢買新聞"
2025/5/17 上午 8:17:03,男性主管喜好把笨蛋掛在嘴上,資深主管仗勢自己位高權重，喜歡把沒有的事，陳述給他人，說自己是受害者。原來這家公司都是這般照顧員工的
2025/5/17 上午 8:38:50,"00982A募集截止日的下午3點多
接到主管的line 電話，
一接通，熟悉的問候聲後 
隨即 變換語氣，群益的主動式ETF 妳怎麼掛零
你怎麼聽不懂人話呢！我不是一直跟你說不要掛零嗎？你知道公司上層對這檔很重視，你這樣後面我會很難處理耶！今天下午起要更新維護客戶管理系統每日至少10戶，並跟我回報今日財管客戶互動請況後才能下班。","IPO週週募，基金責任額月月300萬元
常常想這是正常的嗎？
主管機關怎麼會核准這麼多類似 的ETF
陸續發行上市，投資人真的會一直買單？
財管手收：保險、基金、海外股市、結構型商品
上午證券交易、收盤後的商品教育訓練、客說會投資講座，常常搞到下班時已是心力憔悴！
證券營業員VS 保險業務員 
同樣20年資歷   
資深營業員也得兼著是保險業務員
為了家人、生活，還是得撐下去"
2025/5/17 上午 10:11:22,你只有這樣的客戶嗎？為什麼其他人都可以到？還是你手上客戶全部都還我？,主管們只會賣自己有賺錢的商品，ipo這種沒賺頭的東西只會把自己的責任額分擔下去給基層業務
2025/5/17 上午 10:45:26,"1、客人來辦不限用途款項借貸，主管說先借給願意做IPO 的（心想：這樣還叫做不限用途嗎？）
2、做不到就拿你的實動戶，少10萬拿一個該月份做50-100萬業績的實動戶",自從來了一批被合併、踢出原工作、沒人要的所謂高層，IPO就變成惡夢了！這反IPO群組發酵後，身為主管的你才不逼百分百，部門一直有人離職，你從來就覺得那是他們的問題，他們做不到，會有別人做，殊不知他們一直拿自己的錢或家人的錢來買的，一直賠也不是辦法，為了底薪三萬的工作，他們說--不幹了最大...
2025/5/17 上午 10:53:05,4/28-4/30為永昌IPO募集，4/30發放績效獎金，理專30日客戶表示不願購買，經理要求理專自行購買，理專不願意經理大聲質問,月月基金、保險、IPO募集，主管分配下來，某些同仁壓力更大（主管表示某些職務資源多應負責更多扣打），每個人上班都是為了賺錢，曾幾何時參與購買只是為了讓主管閉嘴、不讓主管找麻煩，員工都要買，總行單位不用買、經理自己也不用買（除了某些經理是會自己帶頭買），行員一年薪水近百到破百萬，應該有30-40%都需要拿來自己做業績（主管：我們都是這樣，薪資高的代價就是要這樣，教你們資金入場再出來，跟著做，你的資金通常不會賠，賠也不會賠很多）。十幾到幾十萬投入，沒有百萬身價真的不敢踏進銀行業。層層剝削，總行各個部門下達各種不可能完成的任務，沒達到扣息扣息再扣息。你敢信今年的理財業績目標是去年的1.8倍嗎？每個月開會都說這次使命必達，試問哪個月可以不用達成？
2025/5/17 上午 11:53:26,"Q你要不要去問問看其他同仁都怎麼做到的？
A其他人都用自己資金下的。
Q那你客戶如果都不買單，是不是也要考慮自己下
A我才剛出社會沒那麼多錢
Q可以跟家人借呀，貸款利率也很低呀","為什麼責任額不是按職級來分配呢？我幾個客戶，資深同事幾個客戶？為什麼我們責任額一樣。
資深同事隨便都可以排在前面分資源戶，我怎麼做都超不過，排名一靠前，他們隨時都有資源可以在下，而我好不容易拜託的客戶一次次死在IPO，信任感完全失去，也分不到新的客戶，只會陷入死循環"
