時間戳記,原始話術／內部對話,原始內心話語,潤飾後話術,潤飾後內心話語,無奈感 (1–10),被欺壓感 (1–10),羞辱感 (1–10),性別歧視感 (1–10),侮辱性 (1–10),恐懼焦慮 (1–10),壓迫性敘述 (1–10),情緒爆點值 (1–10),委屈沉默 (1–10),語氣強度 (1–10),NLP 總分 (1–100),濃縮金句,適合報導的爆點標題
2025-05-15T11:48:53,"某主管說請業務員自行購買保險 讓業績達標 也算是給公司保護費合理","其實只是想要學習讓自己成為客戶可以信賴的理財專員而非為了壓力而銷售不當的商品給客戶成為很像詐騙集團的一分子","主管竟荒唐表示：「業務員自己買保險讓業績達標，就算付給公司的保護費，很合理！」","我只想努力學習，成為客戶能真正信賴的理財專員，而不是在壓力下被迫推銷不適合的商品，淪為詐騙集團的一份子！",8,9,7,1,7,8,9,9,8,8,78,"主管竟稱員工自購保險達標是「給公司繳保護費」。","「自購保險算保護費！」主管荒唐言論，員工拒當詐騙共犯！"
2025-05-15T11:55:02,"我以前的主管都把他自己的責任額度分配給所有的營業員，然後說不管用什麼辦法一定要達成，還沒開始募集就要承諾會達成，沒有承諾百分百的，每天問進度、寫扣客表、主管辦公室約談，看是要找金主，或是自己去貸款，反正不管用什麼辦法一定要達成。只要募集的商品一出來，還沒開始募集壓力就排山倒海了，有兩個老同事，這樣被逼走的，竟然不是因為我們的本業，是為了IPO，然後主管自己都不買","商品可以發，可以訂目標，但不能強迫達成率，並不是所有的商品客戶都買單！然後獎金發得很少，越上層越肥，把營業員當搖錢樹剝削，這樣可以嗎？","前主管惡劣行徑：將自己的責任額全數轉嫁下屬，逼員工「不擇手段」達成，甚至暗示貸款、找金主，自己卻分毫不買，已逼走兩名老同事！","公司可以發行商品、訂立目標，但絕不能強迫達成率！不是所有商品客戶都會買單！獎金少得可憐，高層卻賺得盆滿缽滿，把我們基層營業員當成搖錢樹一樣剝削，這樣合理嗎？",9,10,8,1,7,9,10,9,9,9,85,"前主管責任額全推下屬，逼貸款、找金主，自己卻不買。","主管自肥卸責！逼員工貸款扛業績，老同事含恨離職！"
2025-05-15T12:05:17,"上一檔IPO沒做到，這一檔開募時，主管走到我身邊說：你上次欠我五十萬這次要補喔","我就想問我清清白白乾乾淨淨的進公司上班，怎麼就負債了？我領$30,000的薪水，怎麼我不賣IPO就「欠你50萬」了？？這是證券還是黑道，每個月都來跟我收保護費，沒有管產品好不好會不會賺錢耶，你要我吞我就得吞下","「你上一檔IPO欠我五十萬，這一檔開募了，記得要補回來喔！」主管竟公然索討。","我月薪才區區三萬，清清白白來上班，怎麼就莫名其妙「欠主管五十萬」了？這到底是證券公司還是黑道堂口？每個月都來收保護費，不管產品多爛、會不會賺錢，逼我就得吞！",9,10,9,1,9,10,10,10,9,10,91,"「你上次欠我五十萬，這次要補！」主管強索，員工莫名「負債」。","月薪三萬竟「欠主管五十萬」！金融業還是黑道討保護費？"
2025-05-15T12:09:27,"主管說 如果跟客戶有一腿有業績 不如就為了業績犧牲自己","我是來自己學習投資理財 也希望學到後幫助客戶有健全的理財觀點 不是來當詐騙集團的","主管竟無恥暗示：「如果和客戶『有一腿』能換到業績，那不如就為了業績犧牲一下自己吧。」","我是來學習專業的投資理財知識，希望能幫助客戶建立正確的理財觀念，不是來出賣自己身體、淪為詐騙集團的幫兇！",7,9,10,10,10,8,9,10,8,10,91,"主管暗示「跟客戶有一腿，不如犧牲自己」換業績。","職場潛規則？主管竟暗示女員工「犧牲自己」換業績！"
2025-05-15T12:16:55,"同事：沒有客戶符合專業投資人。 主管：我知道你沒有，但你還是要想辦法生出來","為什麼做業務一定要用騙的？商品好的話，自然有人會買","員工回報：「沒有客戶符合專業投資人資格。」主管竟回：「我知道你沒有，但你還是要想辦法生出來！」公然要求造假。","為什麼做業務就一定要用騙的？如果商品真的好，自然會吸引客戶購買，何必強迫我們造假、欺騙！",8,9,7,1,7,8,9,8,8,8,77,"主管明知無合格客戶，仍強逼「想辦法生出來」。","「沒客戶也要生出來！」主管強逼造假，員工反問：為何要用騙的？"
2025-05-15T12:25:42,"雞雞證券南部某主管：這就是公司任務使命必達沒有藉口客戶不買就暗示明示自己買單，表示自己也是累積賠不少，誰不是這樣做","出國你們去，高額獎金績效獎金你們領，還不時帶性暗示的神情與言語表示營業員可以靠外型去吸引客戶，我沒有對公司很不滿但我對現任主管很厭惡","南部某證券主管宣稱：「公司任務，使命必達，沒有藉口！客戶不買？那就暗示明示讓他們自己買單！我自已也賠了不少，誰不是這樣過來的？」更以性暗示言詞，要女營業員用外貌招攬客戶。","出國享樂、高額獎金都歸你們這些主管，我們基層卻要忍受這種逼迫自購、甚至帶有性暗示的言語和眼神！我對公司或許沒有太多不滿，但我極度厭惡現在這位主管！",8,9,9,9,8,9,10,10,8,10,90,"南部某證券主管逼員工自購，更帶性暗示：「靠外型吸引客戶」。","「客戶不買自己吞！」南部主管逼員工買單，更帶性暗示：靠外型吸客！"
2025-05-15T12:40:20,"有錢的國度證券，離陽明大學不遠的分公司，會要求這一次的ETF做不到，把做不到的部分灌到下一次的ETF補回來。例如：這次要做200萬，但只達成150萬，不足的50萬，等下次的扣打出來（如果也是200萬）加到下次的扣打裏（200+50=250萬），做不到會個別請到經理室關心業績狀況，有好的資源（大客戶）也會撥給很會賣財管商品的超業或是前經理人的親戚營業員","營業員出來賺錢養家養公司，好不容易賺到的辛苦錢，都要拿出來run公司的每個月每項扣打（基金、ETF、海外債、投資型保單、FCN），高層領高薪，營業員賠獎金。就連每年尾牙還要號召員工表演節目給高層娛樂，真的很懷念以前照顧員工的萬財老闆。還有，不要有營業員離職就把資源撥給前經理人的親戚營業員好嗎？對盡心盡力達成扣打的營業員們公平嗎？常常在那邊話術演練，話術客戶去買目前的扣打產品，客戶買到的商品是不是自己想要的？安全的？還是公司想賣的？風險高或低的？","某證券分公司遭控：ETF業績未達標，差額竟「利滾利」累計到下次！做不到就被叫到經理室「關心」，而肥美大客戶等好資源，則優先分配給超級業務員或與前經理有裙帶關係者。","我們營業員辛辛苦苦賺錢，不僅要養家，還要養公司！血汗錢全被逼著投入公司每個月的各種業績目標，高層坐領高薪，我們卻只能賠掉獎金。連尾牙都得被逼上台表演取悅長官！更可惡的是，資源分配極度不公，只要有員工離職，客戶就直接轉給前經理的親戚！這對我們這些盡心盡力的人公平嗎？天天演練話術，逼客戶買的到底是他們需要的，還是公司想硬塞的垃圾？",9,10,8,1,7,9,10,9,9,9,85,"業績未達標竟「利滾利」下次補，資源只給紅人、皇親國戚。","坑殺員工！業績未達標「利滾利」下次補，肥水只流自家親戚！"
2025-05-15T13:30:42,"某券商某主管說： 連30萬都沒有辦法自己做IPO 要我借你錢嗎？","如果個人的基本績效都已達標 就不要再逼 保險 債券 IPO 的業績了 ","「連30萬的IPO都沒辦法自己處理？要不要我借錢給你啊？」主管極盡嘲諷之能事。","如果我個人的基本績效都已經達標了，可以請你們不要再逼迫我們去推銷那些保險、債券、IPO的業績了嗎！",7,8,9,1,8,8,9,8,8,8,78,"「30萬IPO都搞不定？要我借你錢嗎？」主管嘲諷逼迫。","「30萬IPO都搞不定？要不要借你錢？」主管嘲諷逼員工自掏腰包！"
2025-05-15T13:36:34,"主管說：我不相信你IPO連10萬都騙不到 拿著你營業員的名片會騙不到10嗎？ 如果騙不到，表示這個行業不適合你 請你可以考慮離開","我從業30幾年，第一次感覺自己是詐騙集團 什麼時候我的業績需要去騙客戶才能完成😭 每次IPO上市 都比我自己買壓力還要大 怕對不起從頭到尾這麼挺我的客戶","主管冷嗆：「我不相信你IPO連10萬塊都騙不到！拿著你的名片去騙啊！如果連這樣都騙不到，代表這行不適合你，你可以滾了！」","我從業三十多年，第一次感覺自己像個詐騙集團成員！我的專業和業績，什麼時候淪落到需要用「騙」的才能完成？每次IPO上市，壓力都大到比我自己跳下去買還難受，深怕對不起那些一路相挺的客戶！",8,9,10,1,9,10,10,10,9,10,90,"主管逼員工「拿名片去騙」，騙不到就滾。","「連10萬都騙不到就滾！」主管逼老鳥成詐騙集團，從業30年心寒！"
2025-05-15T14:58:50,"公司就是被你們拖累的/ 公司不養冗員/ 資源分配本來就是不公平但你們就是要做出同樣的業績 /業務員是責任制，超時沒有加班費，有本事做出成績不然下午晚上假日也要去訪客啊/假日節日還要收到主管訊息KPI施壓，根本沒有喘息的空間/每天早上下午都在碎念講大道理情緒勒索，做不到抽資源換別人經營，你知道你很危危險嘛，ipo沒達標績效考核會很不好/客人股票下單跟你們業務員沒有關係，只有財富管理才是你們的價值/沒數字就說你很危險喔 會被約談喔 有可能會輔導 被資遣喔 之前最後一名的人現在卻莫名拿到資源變成前幾名 這有公平嘛？","拜託 我們不是24小時工作機器人誒 無時無刻都在情緒勒索 早到晚 包含假日 還要收到訊息檢討 追蹤 請問你要付我加班費嘛 特休還要看你臉色 kpi沒達標還要被你酸 你自己也說資源分配本來就是不公平 那憑什麼要求我們做到相同的數字KPI 起跑點就不一樣了不是嗎 數字為王其他為屎嘛 說得一頭好道理 但你們真的有把業務員當人看嘛 還是無法創造數字的就滾 說了這麼多也沒實際方案 只會Call客 你跟客人交情不好 客人不願意幫你 有時候還真的覺得這些客人真的很悲哀誒 金融業有些主管 高官根本就是沒把員工當成家人只是當成免洗筷沒用就丟 真的氣死人 ","主管連環炮轟：「公司被你們拖垮！不養冗員！資源不公也要做出同樣業績！責任制沒加班費，假日也去跑客戶！KPI隨時壓頂，沒得喘息！做不到就抽資源、換人經營、績效差、被資遣！股票下單不重要，財管才是價值！」","拜託，我們不是24小時運轉的機器人！從早到晚被情緒勒索，連假日都不得安寧，訊息轟炸、檢討追蹤！加班費呢？特休還要看你臉色，KPI沒到就被酸言酸語！你都說資源分配不公了，憑什麼要求我們在不同起跑線上達到相同目標？數字為王，我們就是屎嗎？你們到底有沒有把我們當人看，還是只是用完即丟的免洗筷！氣死人了！",10,10,9,1,8,10,10,10,10,10,92,"主管連環炮轟：冗員、拖累公司、抽資源、資遣威脅。","「你們是拖油瓶、冗員！」主管全天候情勒轟炸，員工怒：我們不是免洗筷！"
2025-05-15T14:41:41,"「某主管」不守信用，有營業員自掏腰包買（保險、申購IPO基金及申購ETF)之後還被資遣，主管所說的績效都是他們說的算，分數都「主管」在打，「主管」想資遣誰就資遣誰，在我眼裏主管所說的績效都是騙人的！","我們做業績都是上面的在享受 做好是應該的，做不好只會威脅恐嚇 業績、壓力都是我們在扛 升遷的是他們、出國的也是他們 真的很不公平！","主管毫無誠信！有營業員自掏腰包購買保險、基金、ETF後，竟仍慘遭資遣！所謂的績效根本是主管一手遮天，分數隨便他打，想讓誰滾蛋就讓誰滾蛋！這一切都是騙局！","我們拼死拼活做出來的業績，功勞全是上面那些人在享受！做得好是應該，做不好就等著被威脅恐嚇！所有的業績和壓力都是我們在扛，結果升官的是他們，出國旅遊的也是他們！這世界還有公平嗎！",9,10,9,1,8,9,10,9,9,9,86,"主管不守信，員工自購商品後仍被資遣，績效全由主管操控。","卸磨殺驢！員工自掏腰包達標，仍遭惡主管黑箱資遣！"
2025-05-15T14:49:46,"某聯x金 個金貸款 主管 不做財管績效獎金會變少 大家都有做 你不能不做","明明是個金貸款還要綁協銷保單ipo 不是嚴禁貸款買產品嗎 個金業務也沒有證還要協銷 恐嚇客人不買就利率變高 手續費變高 違法算誰 ","聯X金個金貸款主管施壓：「不做財管，績效獎金就會變少！大家都有做，你不能不做！」強迫員工協銷保單與IPO。","我們明明是個金貸款部門，為什麼要被強迫交叉銷售保單和IPO？這不是明文規定嚴禁「貸款用途購買金融產品」嗎？個金業務甚至沒有相關證照也要硬著頭皮協銷，還要配合恐嚇客戶若不購買就調高利率、增加手續費！這種違法行為，出事了到底算誰的責任！",8,9,7,1,7,8,9,8,8,8,77,"聯X金個金貸款主管強迫協銷保單IPO，威脅影響獎金。","違法邊緣！貸款部門竟逼員工賣保單IPO，更恐嚇客戶：不買就升息！"
2025-05-15T15:03:29,"投資型保單很棒的被動收入，有7-8%，可以用房子借款出來買

下午留下來打20幾通電話
還會去聽錄音，看你有沒有真的打電話出去銷售，這個手段好幾年前就有

IPO ETF 可以很好拿獎金，為什麼還掛蛋

（其實很不想說，還有很多很多被打壓，被情勒，怕寫這些，萬一曝光，就沒了工作）","從業20年超過，以前的年代是賣基金，但近幾年的ipo真的太誇張了，責任額幾百萬，甚至要求到千萬也有，然後破發，客人都是捧場買的，虧了幾次之後，捧場的人越來越少
去年下旬下半年幾乎一個月1-2檔
有時根本還來不及教育訓練，就要報額度，最好第一天都能達到100%
每次都一定要達成全公司的額度
這到底是誰規定的，這麼爛的東西為什麼要強迫我們去銷售
根本不需要什麼專業，我們只是銷售的機器
無論是股票債券或主動式的ETF賣就對了
從兩年前身心壓力之下也去看了醫生
每天需要吃藥睡覺,恐慌焦慮的情緒時常伴隨
我知道情緒生病了
證券業也生病了，但是沒有人會去檢討
只有營業員不斷被檢討，別人可以為什麼你不行
同事抱怨歸抱怨，額度一下來還是做到滿甚至超過，我只能說客人真好騙
因為大家都想要繼續工作，所以很拼
但這樣子會讓公司得寸進尺
無限的發行
最後終究會是一場災難
很高興終於有同業肯出來發聲
終於覺得有靠山的感覺","主管話術利誘：「投資型保單報酬高達7-8%，拿房子去抵押貸款買啊！」；監控威逼：「下午留下打20通電話，我會聽錄音檢查有沒有確實銷售！」；業績施壓：「IPO ETF獎金這麼好拿，你怎麼還掛蛋？」(員工憂曝光丟飯碗)","我從業超過20年，以前賣基金，但近幾年的IPO真的太誇張！責任額從幾百萬飆到千萬，結果檔檔破發，客人捧場虧錢後越來越少。去年下半年幾乎每月1-2檔，沒時間教育訓練就要報額度，逼第一天達標！誰規定這麼爛的東西要強迫銷售？我們根本不需要專業，只是銷售機器！股票、債券、ETF，닥치는 대로 팔아라！兩年前開始，我因巨大身心壓力去看醫生，每天靠藥物入眠，恐慌焦慮如影隨形。我知道，我不只情緒生病，整個證券業都病了！卻沒人檢討制度，只會檢討營業員：「別人可以，為什麼你不行？」同事們邊罵邊做，甚至超額完成，我只能說客人真好騙。大家為了飯碗拼命，公司卻得寸進尺，無限發行，這終將是場災難！很高興終於有人發聲，感覺不再孤單。",10,10,8,1,7,10,10,10,10,10,90,"主管鼓吹房貸買保單、監聽電話，施壓IPO業績。員工憂曝光丟飯碗。","「證券業病了！」20年老鳥泣訴：月月IPO逼死人，淪銷售機器靠藥入眠！"
2025-05-15T15:28:21,"銀行IPO和基金業績是一定要做到的，沒有做不到這種事，客人不買，就是你自己要買。","賺到的錢都拿去買銀行IPO和基金了，股市大跌全都套牢了","「銀行IPO和基金業績，沒有做不到，只有一定要做到！客人不買？就是你自已掏錢買！」主管下達最後通牒。","辛辛苦苦賺來的血汗錢，全都被逼著拿去買銀行的IPO和基金了！結果股市大跌，全部慘賠套牢，欲哭無淚！",9,10,7,1,6,9,10,8,9,8,80,"「IPO基金必須做到，客人不買自己買！」主管強硬下令。","「客人不買你就自己買！」血汗錢全買自家IPO，遇股災慘套牢！"
2025-05-16T00:24:07,"某投信投顧主管的職場言語及精神霸凌：1.業務沒有報單就是沒有價值 2.公司產品即使是垃圾也能是黃金，不然公司請你來幹嘛？ 3. 工作是外勤拜訪，業績不好，主管心情不好就臨時要求趕回辦公室開會，還要求開視訊確認所處位置 4.時不時口頭威脅要對業務啟動pip計劃 5.主管以業績不好、藉故查勤當理由，動不動開口必要時以絕對離職辦理  6.臨時要求產品演練  7.威脅要以公司內規訂定業務守則規範，以規定訪客次數及辦理說明會次數  8.外部分行或分公司的早夕會上課所產生的交通時間都在非上班時間內，公司從未給付過加班費  9.要求參加晚上的銀行或券商餐會活動，也從未給付過加班費  10.莫須有栽贓及怪罪業務，縮減年終獎金或季獎金。","1.照勞基法規定還給員工有制度有尊嚴的工作制度，加班費正常給付，工作時數合理化。2.主管勿以言語威脅離職、及言語暴凌  3. 公司調整距離超過原住址超過30公里，應該提供勞基法相關勞工保障，提供配套措施。","投信顧主管遭控十大精神霸凌：「沒報單就沒價值！」「垃圾也要賣成黃金，不然要你幹嘛？」「業績差就PIP威脅、逼離職！」「隨時視訊查勤、臨時突襲演練！」「濫用內規限制拜訪、拒付加班費、莫須有栽贓扣獎金！」","請依勞基法還我們有尊嚴、有制度的工作環境！加班費應正常給付，工時必須合理化！主管立刻停止言語威脅與精神霸凌！公司若調整工作地點超過30公里，應依法提供勞工保障及配套措施！",9,10,10,1,9,10,10,10,9,10,92,"投信顧主管遭控十大精神虐待：「沒單就沒價值！垃圾也要賣成黃金！」威脅PIP逼離職！","惡主管十大酷刑！精神虐待：「垃圾也要賣成黃金！」威脅PIP逼離職！"
2025-05-16T00:53:27,"沒有","銀行主管不要再訂IPO目標。不要什麼業務都要理專做，存款、貸款、貸轉投、做不到就扣KPI","(無特定話術，員工直接表達對制度的不滿)","銀行主管們，求求你們別再設定那些天文數字般的IPO目標了！不要把所有業務壓力都堆到理專身上，存款、貸款、貸轉投全包，做不到就扣KPI，這是要把人逼上絕路嗎？",7,8,4,1,3,7,7,6,8,6,61,"(無特定話術，員工直接表達對制度的不滿)","銀行員怒吼：別再訂IPO目標！存款貸款全包，做不到就扣KPI！"
